origem,usuario,mensagem,data
BuzzMonitor,laura.correa,"Evoluiram muito no ultimo trimestre, parabens.",2025-07-03 01:53:30
CSAT,ana.lima,A ferramenta esta ajudando muito nosso dia a dia. Preciso de retorno urgente.,2025-07-03 07:54:03
BuzzMonitor,bruno.mendes,"Preciso atualizar o responsavel do contrato, com quem falo?",2025-07-03 09:24:26
BuzzMonitor,juliana.almeida,"Boa, o erro de sincronizacao sumiu. Preciso de retorno urgente.",2025-07-03 14:56:14
BuzzMonitor,mariana.souza,"A navegacao esta confusa, nao acho as configuracoes.",2025-07-03 18:18:09
CSAT,rafael.souza,A conciliacao bancaria ficou bem melhor nessa versao.,2025-07-03 18:24:40
NPS,thiago.oliveira,"A navegacao esta confusa, nao acho as configuracoes. Preciso de retorno urgente.",2025-07-03 19:06:42
CSAT,leonardo.ferreira,A integracao com o gateway de pagamento caiu. Preciso de retorno urgente.,2025-07-03 21:30:55
BOT,ana.elias,A conciliacao bancaria ficou bem melhor nessa versao.,2025-07-03 21:54:32
CSAT,juliana.souza,"A fatura veio com reajuste sem aviso, podem verificar? Preciso de retorno urgente. Ticket 83187.",2025-07-04 01:18:49
BuzzMonitor,rafael.silva,Onde eu encontro o historico de faturas?,2025-07-04 05:50:53
CSAT,ana.mendes,Os logs de auditoria ajudaram bastante.,2025-07-04 09:57:40
BuzzMonitor,carla.araujo,Como abro um chamado para suporte tecnico?,2025-07-04 13:10:46
NPS,carla.araujo,Seria bom ter mais opcoes de personalizacao.,2025-07-04 15:59:02
NPS,beatriz.nascimento,"A importacao esta levando horas, ficou impraticavel.",2025-07-04 16:56:24
CSAT,carla.elias,Muitos cliques para fazer uma tarefa simples. Preciso de retorno urgente.,2025-07-04 17:44:46
CSAT,fernanda.mendes,A experiencia poderia ser melhor em dispositivos moveis.,2025-07-05 03:10:06
BuzzMonitor,patricia.carvalho,"A importacao esta levando horas, ficou impraticavel. Preciso de retorno urgente.",2025-07-05 06:35:14
CSAT,isabela.souza,Tem alguma previsao para corrigir a exportacao?,2025-07-05 12:22:42
CSAT,fernanda.barbosa,O sistema esta muito lento para carregar relatorios.,2025-07-06 11:51:43
NPS,juliana.mendes,"Gostei do novo painel financeiro, bem mais claro. Preciso de retorno urgente.",2025-07-06 13:52:14
BuzzMonitor,joao.correa,A exportacao para contabilidade funcionou de primeira. Preciso de retorno urgente.,2025-07-06 22:58:00
CSAT,carla.lima,"As dicas na tela ajudam bastante, parabens.",2025-07-07 10:04:27
CSAT,isabela.oliveira,Posso reorganizar o menu?,2025-07-07 12:12:51
BOT,patricia.mendes,"A tela de cadastro ficou redonda, sem bugs.",2025-07-07 12:51:31
CSAT,camila.oliveira,Tem alguma pagina de status para acompanhar?,2025-07-08 00:38:49
BOT,leonardo.pereira,"O sistema esta fora do ar desde cedo, precisamos de retorno. Preciso de retorno urgente.",2025-07-08 00:48:20
BuzzMonitor,gustavo.dias,Ficou travando e desconectando toda hora. Preciso de retorno urgente.,2025-07-08 10:23:14
BuzzMonitor,beatriz.ribeiro,Vocês podem considerar um novo recurso?,2025-07-08 17:45:33
CSAT,camila.mendes,"Comecei a usar rapido, processo muito bom. Ticket 62386.",2025-07-08 18:47:21
BOT,vitor.dias,"Gostei do novo painel financeiro, bem mais claro.",2025-07-08 20:35:53
BuzzMonitor,camila.carvalho,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-08 22:14:26
BuzzMonitor,fernanda.mendes,Existe cache para relatorios?,2025-07-09 00:34:56
NPS,beatriz.pereira,O boleto nao foi gerado e estou com pagamento em atraso por causa disso. Preciso de retorno urgente.,2025-07-09 01:04:46
NPS,joao.pereira,Parece que um usuario acessou dados que nao deveria.,2025-07-09 12:54:15
CSAT,gustavo.elias,Quero participar do beta de novas funcoes.,2025-07-09 17:24:26
BuzzMonitor,gustavo.rocha,"Parabens, a nota fiscal saiu certinha e bem rapido.",2025-07-09 17:29:35
CSAT,ana.lima,Nao consigo atualizar meus dados de pagamento no sistema.,2025-07-09 22:26:33
NPS,carla.oliveira,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-09 23:26:08
CSAT,laura.lima,Os tutoriais não cobrem o que eu preciso.,2025-07-09 23:47:57
CSAT,bruno.ribeiro,O botao de salvar nao responde na tela de cadastro.,2025-07-10 02:05:09
BuzzMonitor,carla.almeida,"A tela de cadastro ficou redonda, sem bugs.",2025-07-10 03:34:34
CSAT,bruno.martins,"Adorei as novas funcionalidades, muito util.",2025-07-10 07:59:18
BuzzMonitor,mariana.araujo,O botao de salvar nao responde na tela de cadastro.,2025-07-10 09:11:59
BuzzMonitor,laura.carvalho,O filtro nao funciona e retorna resultados errados.,2025-07-10 11:51:19
CSAT,laura.nascimento,Os webhooks estao super estaveis agora. Preciso de retorno urgente.,2025-07-10 12:45:20
NPS,ana.silva,Os logs de auditoria ajudaram bastante.,2025-07-10 15:19:15
CSAT,juliana.souza,"A performance melhorou muito, ta voando.",2025-07-10 16:03:19
BOT,lucas.martins,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-07-10 21:49:44
CSAT,rafael.carvalho,O sistema esta muito lento para carregar relatorios.,2025-07-11 00:42:52
CSAT,isabela.dias,Gostaria de entender o roadmap de funcionalidades.,2025-07-11 05:16:21
CSAT,juliana.souza,A tela nao e intuitiva e acaba atrapalhando.,2025-07-11 06:01:11
NPS,gustavo.carvalho,"A API esta bem documentada, consegui integrar rapido. Preciso de retorno urgente.",2025-07-11 07:35:39
CSAT,isabela.gomes,O tempo de resposta da API aumentou bastante.,2025-07-11 10:45:31
NPS,camila.gomes,Fui transferido varias vezes e nao resolveram.,2025-07-11 16:50:12
NPS,bruno.lima,Preciso de um relatorio de cobranca do mes.,2025-07-11 17:51:04
CSAT,diego.souza,A busca demora demais e trava o navegador.,2025-07-12 05:04:19
BOT,vitor.pereira,"A API esta bem documentada, consegui integrar rapido.",2025-07-12 07:20:03
BOT,camila.araujo,Como gero um token de API?,2025-07-12 08:23:28
CSAT,gustavo.almeida,O sistema duplica registros ao importar. Preciso de retorno urgente.,2025-07-12 13:04:42
CSAT,carla.souza,Depois da ultima manutencao ficou bem mais estavel.,2025-07-12 18:49:45
BOT,fernanda.lima,Quando tento exportar CSV ele vem vazio.,2025-07-13 06:35:41
CSAT,ana.correa,Fui transferido varias vezes e nao resolveram.,2025-07-13 10:03:04
BOT,thiago.almeida,O tempo de resposta da API aumentou bastante.,2025-07-13 17:25:11
BuzzMonitor,juliana.ribeiro,"Faltam campos no cadastro, isso atrapalha.",2025-07-13 17:50:46
BOT,lucas.correa,O suporte foi muito prestativo e claro.,2025-07-13 19:00:39
CSAT,laura.oliveira,A ferramenta esta ajudando muito nosso dia a dia.,2025-07-14 00:23:09
NPS,diego.lima,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-07-14 01:22:19
CSAT,gustavo.dias,O boleto não foi gerado e estou com pagamento em atraso por causa disso.,2025-07-14 03:17:25
CSAT,camila.lima,O sistema esta muito lento para carregar relatorios.,2025-07-14 09:48:02
BuzzMonitor,joao.araujo,Qual o prazo para emitir nota fiscal?,2025-07-14 10:21:59
BuzzMonitor,leonardo.almeida,O menu mudou e agora ficou pior de usar.,2025-07-14 10:24:13
CSAT,fernanda.elias,A tela nao e intuitiva e acaba atrapalhando.,2025-07-14 16:00:08
NPS,thiago.rocha,"Gostei do novo painel financeiro, bem mais claro. Preciso de retorno urgente.",2025-07-14 17:14:03
CSAT,patricia.martins,"Nao carrega a tela inicial, fica em loading infinito. Preciso de retorno urgente.",2025-07-15 00:45:13
NPS,camila.elias,Quero participar do beta de novas funcoes.,2025-07-15 00:59:33
BOT,thiago.rocha,No geral estou bem satisfeito com a plataforma.,2025-07-15 03:24:30
CSAT,gustavo.elias,O suporte demorou muito para responder meu chamado. Ticket 32751.,2025-07-15 11:03:12
NPS,diego.carvalho,Importacao muito mais eficiente agora.,2025-07-15 19:36:09
NPS,vitor.ferreira,"Gostei do controle de permissoes, bem completo.",2025-07-15 20:00:58
BOT,juliana.araujo,A API esta retornando 401 mesmo com token valido.,2025-07-16 06:55:41
BuzzMonitor,ana.oliveira,"Faltam campos no cadastro, isso atrapalha. Preciso de retorno urgente.",2025-07-16 07:01:25
NPS,fernanda.mendes,Preciso de auditoria e nao encontro logs completos. Ticket 61543.,2025-07-16 07:05:01
BuzzMonitor,juliana.ribeiro,"Gostei do novo painel financeiro, bem mais claro.",2025-07-16 10:48:16
NPS,thiago.mendes,O reset de senha falha e nao chega email.,2025-07-16 18:38:49
NPS,mariana.araujo,A nova interface ficou bem mais intuitiva.,2025-07-16 19:40:27
BOT,mariana.nascimento,A tela nao e intuitiva e acaba atrapalhando.,2025-07-16 20:44:43
BOT,joao.souza,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-07-16 22:38:27
CSAT,mario.araujo,No geral estou bem satisfeito com a plataforma.,2025-07-17 10:00:21
BuzzMonitor,lucas.oliveira,Recebi alerta de login suspeito e nao consegui bloquear.,2025-07-17 10:23:48
BOT,lucas.almeida,A correcao do filtro resolveu meu problema. Ticket 66333.,2025-07-17 16:55:49
CSAT,leonardo.dias,O atendimento foi rude e não ajudou. Preciso de retorno urgente. Ticket 24107.,2025-07-18 07:37:03
CSAT,beatriz.correa,As telas estao com lentidao em horario comercial.,2025-07-18 09:11:44
BuzzMonitor,vitor.souza,O bloqueio por IP facilitou nossa politica interna.,2025-07-18 13:42:18
CSAT,camila.elias,"Estou com problema na cobranca, veio valor duplicado na fatura. Preciso de retorno urgente.",2025-07-19 02:10:38
BuzzMonitor,vitor.gomes,O sistema esta muito lento para carregar relatorios.,2025-07-19 14:08:59
NPS,ana.pereira,Fui transferido varias vezes e nao resolveram.,2025-07-20 03:43:03
CSAT,joao.ribeiro,Preciso de um relatorio de cobranca do mes.,2025-07-20 12:16:19
CSAT,fernanda.gomes,O webhooks estao falhando e nao recebo eventos.,2025-07-20 13:48:53
BuzzMonitor,carla.martins,As mensagens de erro não explicam o que fazer.,2025-07-20 13:56:50
BOT,thiago.rocha,Vocês recomendam qual navegador? Preciso de retorno urgente.,2025-07-20 18:46:00
CSAT,rafael.souza,A autenticacao em dois fatores nao funciona. Ticket 25112.,2025-07-20 19:04:01
NPS,gustavo.barbosa,A integracao com o ERP nao esta sincronizando.,2025-07-21 00:28:08
NPS,mario.lima,Os logs de auditoria ajudaram bastante. Ticket 13019.,2025-07-21 04:03:45
CSAT,vitor.souza,Existe modo escuro?,2025-07-21 10:09:32
BuzzMonitor,vitor.ferreira,"A API esta bem documentada, consegui integrar rapido. Preciso de retorno urgente.",2025-07-21 11:32:44
BuzzMonitor,thiago.correa,"Evoluiram muito no ultimo trimestre, parabens.",2025-07-21 13:05:36
CSAT,mario.carvalho,"Estou com problema na cobranca, veio valor duplicado na fatura. Preciso de retorno urgente.",2025-07-21 19:12:50
CSAT,juliana.almeida,Tem boas praticas para melhorar performance?,2025-07-21 19:43:20
NPS,joao.souza,O suporte demorou muito para responder meu chamado.,2025-07-21 19:46:15
BuzzMonitor,diego.rocha,O atendimento foi rude e nao ajudou.,2025-07-21 22:16:30
CSAT,camila.teixeira,"Nao carrega a tela inicial, fica em loading infinito.",2025-07-22 01:52:58
BuzzMonitor,carla.lima,Qual o SLA de atendimento para meu plano?,2025-07-22 05:09:37
CSAT,patricia.almeida,Fiquei perdido na configuracao inicial. Preciso de retorno urgente.,2025-07-23 00:38:22
CSAT,thiago.carvalho,Como gero um token de API?,2025-07-23 03:31:22
NPS,fernanda.correa,A documentacao e bem completa.,2025-07-23 06:59:56
CSAT,leonardo.oliveira,Os tutoriais nao cobrem o que eu preciso.,2025-07-23 07:05:52
NPS,isabela.gomes,A exportacao para contabilidade funcionou de primeira. Ticket 35551.,2025-07-23 07:23:38
NPS,gustavo.oliveira,Ficou travando e desconectando toda hora.,2025-07-23 11:41:05
CSAT,laura.ribeiro,"A navegacao esta confusa, nao acho as configuracoes.",2025-07-23 12:41:03
CSAT,mario.lima,A autenticacao em dois fatores nao funciona.,2025-07-23 12:49:49
BuzzMonitor,vitor.carvalho,Seria bom ter mais opcoes de personalizacao. Ticket 64767.,2025-07-23 21:00:01
BOT,mariana.silva,A integracao gera erro ao sincronizar e para no meio.,2025-07-24 01:48:07
BuzzMonitor,bruno.araujo,Preciso de um relatorio de cobranca do mes.,2025-07-24 03:26:21
NPS,laura.oliveira,Quero participar do beta de novas funcoes.,2025-07-24 05:00:52
CSAT,patricia.rocha,A ferramenta esta ajudando muito nosso dia a dia.,2025-07-24 06:18:56
CSAT,lucas.araujo,Vocês tiveram alguma manutencao programada hoje?,2025-07-24 08:27:54
NPS,joao.dias,Nao consigo atualizar meus dados de pagamento no sistema.,2025-07-24 13:55:55
BuzzMonitor,juliana.barbosa,O atendente nao entendeu o problema e encerrou o ticket.,2025-07-24 14:32:37
NPS,leonardo.almeida,"As dicas na tela ajudam bastante, parabens. Preciso de retorno urgente.",2025-07-24 15:22:54
BOT,lucas.oliveira,Tem webinar de introducao?,2025-07-24 20:16:53
CSAT,joao.teixeira,Tem alguma previsao para corrigir a exportacao?,2025-07-24 22:16:34
BuzzMonitor,isabela.souza,Muitos cliques para fazer uma tarefa simples.,2025-07-25 02:45:24
BuzzMonitor,ana.ribeiro,O tempo de resposta da API aumentou bastante. Preciso de retorno urgente.,2025-07-25 03:59:13
BOT,diego.carvalho,Nao consigo atualizar meus dados de pagamento no sistema.,2025-07-25 06:58:59
CSAT,laura.ribeiro,O bloqueio por IP facilitou nossa politica interna. Preciso de retorno urgente.,2025-07-25 09:08:03
BuzzMonitor,fernanda.nascimento,A ferramenta esta ajudando muito nosso dia a dia.,2025-07-25 09:38:25
BuzzMonitor,patricia.lima,A API esta retornando 401 mesmo com token valido. Preciso de retorno urgente.,2025-07-25 11:32:14
BOT,mario.ferreira,"Faltam campos no cadastro, isso atrapalha.",2025-07-25 18:13:44
BOT,isabela.lima,Vocês tem exemplo de payload para webhooks?,2025-07-25 20:46:30
NPS,laura.souza,"Obrigada pela paciencia, problema resolvido.",2025-07-25 21:48:46
BOT,juliana.gomes,Existe modo escuro?,2025-07-26 00:36:29
BuzzMonitor,juliana.elias,"O processo de pagamento ficou mais simples, ajudou muito.",2025-07-26 01:11:31
BOT,beatriz.ribeiro,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-26 04:33:03
BuzzMonitor,rafael.mendes,A correcao do filtro resolveu meu problema.,2025-07-26 04:41:14
CSAT,bruno.martins,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-26 04:55:39
BOT,laura.souza,O onboarding foi excelente e bem guiado.,2025-07-26 05:52:19
NPS,fernanda.nascimento,O filtro nao funciona e retorna resultados errados.,2025-07-26 17:12:59
CSAT,mario.martins,Qual versao contem a correcao do problema? Ticket 98479.,2025-07-26 17:23:04
BuzzMonitor,diego.rocha,"Gostei do novo painel financeiro, bem mais claro.",2025-07-26 19:01:17
NPS,gustavo.carvalho,"Relatorios agora carregam rapido, excelente.",2025-07-26 20:48:15
BuzzMonitor,camila.souza,"Gostei do novo painel financeiro, bem mais claro.",2025-07-27 01:49:14
NPS,laura.souza,"Estou sem retorno ha dias, isso prejudica o trabalho. Ticket 30489.",2025-07-27 04:16:47
NPS,lucas.nascimento,Depois da ultima manutencao ficou bem mais estavel.,2025-07-27 08:48:20
CSAT,patricia.souza,Posso enviar logs para ajudar a investigar?,2025-07-27 11:47:12
BuzzMonitor,rafael.rocha,O suporte demorou muito para responder meu chamado.,2025-07-27 14:47:09
CSAT,camila.ferreira,Como abro um chamado para suporte tecnico?,2025-07-27 23:16:49
BOT,juliana.dias,A documentacao e bem completa. Preciso de retorno urgente.,2025-07-28 04:23:00
BuzzMonitor,joao.correa,A experiencia de uso evoluiu muito.,2025-07-28 06:01:32
NPS,carla.silva,A API esta retornando 401 mesmo com token valido.,2025-07-28 06:32:43
BOT,bruno.mendes,A plataforma caiu agora e nao consigo acessar.,2025-07-28 20:01:14
BuzzMonitor,patricia.souza,O botao de salvar nao responde na tela de cadastro.,2025-07-29 01:05:26
CSAT,beatriz.carvalho,"Comecei a usar rapido, processo muito bom.",2025-07-29 03:56:05
NPS,carla.lima,O onboarding foi excelente e bem guiado.,2025-07-29 04:17:02
CSAT,laura.gomes,"A API esta bem documentada, consegui integrar rapido.",2025-07-29 05:54:27
NPS,isabela.mendes,Os dados do CRM estao vindo incompletos na integracao. Ticket 33565.,2025-07-29 08:04:50
BuzzMonitor,mariana.barbosa,Os logs de auditoria ajudaram bastante.,2025-07-29 10:31:28
NPS,mariana.mendes,"Gostei do conector com o ERP, poupou tempo.",2025-07-29 18:21:52
NPS,patricia.martins,A API esta retornando 401 mesmo com token valido.,2025-07-29 20:36:18
BOT,bruno.carvalho,Os tutoriais ajudaram muito a comecar.,2025-07-29 22:32:37
NPS,diego.souza,Qual o passo a passo recomendado para comecar?,2025-07-30 02:26:01
BOT,diego.teixeira,A API esta retornando 401 mesmo com token valido.,2025-07-30 02:38:05
BOT,leonardo.almeida,Fiquei perdido na configuracao inicial.,2025-07-30 04:54:14
BOT,laura.teixeira,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-07-30 08:08:00
CSAT,isabela.mendes,O filtro nao funciona e retorna resultados errados.,2025-07-30 13:37:32
BuzzMonitor,diego.almeida,O sistema duplica registros ao importar.,2025-07-30 18:55:00
BOT,thiago.dias,Quando tento exportar CSV ele vem vazio.,2025-07-31 07:12:41
CSAT,leonardo.ribeiro,Recebi alerta de login suspeito e nao consegui bloquear.,2025-07-31 11:16:25
NPS,juliana.silva,O atendente nao entendeu o problema e encerrou o ticket. Preciso de retorno urgente.,2025-07-31 11:57:13
CSAT,mariana.nascimento,A API esta bem mais rapida nessa versao.,2025-07-31 21:14:33
NPS,isabela.gomes,O atendente nao entendeu o problema e encerrou o ticket. Preciso de retorno urgente.,2025-07-31 23:30:38
BuzzMonitor,gustavo.correa,Depois da ultima manutencao ficou bem mais estavel.,2025-08-01 01:53:33
CSAT,mario.oliveira,Muitos cliques para fazer uma tarefa simples.,2025-08-01 04:24:32
BOT,gustavo.souza,"Muito bom ter 2FA, aumentou a seguranca.",2025-08-01 04:53:00
BuzzMonitor,laura.silva,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-08-01 05:35:19
CSAT,mario.dias,A ferramenta esta ajudando muito nosso dia a dia.,2025-08-01 06:10:38
NPS,juliana.souza,A autenticacao em dois fatores não funciona.,2025-08-01 07:51:29
CSAT,rafael.almeida,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-08-01 10:50:26
CSAT,mario.barbosa,Hoje o sistema esta super rapido e sem quedas.,2025-08-01 11:33:33
CSAT,juliana.correa,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-08-01 16:07:08
NPS,vitor.teixeira,Acho que a comunicacao de mudancas poderia melhorar.,2025-08-01 20:38:20
BOT,beatriz.pereira,Tem alguma previsao para corrigir a exportacao?,2025-08-01 21:09:02
NPS,lucas.barbosa,Os dados do CRM estao vindo incompletos na integracao.,2025-08-02 01:01:29
BOT,leonardo.silva,Qual versao contem a correcao do problema?,2025-08-02 02:41:22
CSAT,isabela.teixeira,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-08-02 04:11:17
CSAT,diego.gomes,"Adorei as novas funcionalidades, muito util.",2025-08-02 08:06:50
BuzzMonitor,mariana.pereira,O atendente nao entendeu o problema e encerrou o ticket.,2025-08-02 10:27:22
NPS,vitor.pereira,Nao consegui importar meus dados iniciais. Ticket 21818.,2025-08-02 10:34:29
BuzzMonitor,isabela.teixeira,"Obrigada pela paciencia, problema resolvido.",2025-08-02 11:13:37
CSAT,juliana.rocha,Os logs de auditoria ajudaram bastante. Preciso de retorno urgente.,2025-08-02 12:46:42
CSAT,vitor.elias,Os logs de auditoria ajudaram bastante.,2025-08-02 14:39:40
BOT,juliana.oliveira,Onde vejo o log de auditoria?,2025-08-02 22:12:50
CSAT,isabela.gomes,"A API esta bem documentada, consegui integrar rapido.",2025-08-03 03:52:00
NPS,joao.rocha,O atendente nao entendeu o problema e encerrou o ticket.,2025-08-03 04:19:32
CSAT,patricia.silva,"Comecei a usar rapido, processo muito bom. Ticket 79758.",2025-08-03 05:41:26
CSAT,patricia.rocha,Posso reorganizar o menu?,2025-08-03 05:57:14
CSAT,mario.gomes,A integracao com o ERP nao esta sincronizando.,2025-08-03 07:00:38
CSAT,mario.ferreira,Qual o status do incidente da manha?,2025-08-03 08:10:36
CSAT,thiago.oliveira,A documentacao esta desatualizada.,2025-08-03 09:59:27
NPS,ana.pereira,"Gostei do conector com o ERP, poupou tempo.",2025-08-03 10:10:27
BuzzMonitor,carla.barbosa,Tem SDK em Python para integracao? Ticket 50607.,2025-08-03 14:50:43
NPS,mariana.gomes,"Gostei do novo painel financeiro, bem mais claro.",2025-08-03 18:38:12
BOT,patricia.pereira,"A navegacao esta confusa, nao acho as configuracoes.",2025-08-03 20:24:41
NPS,carla.nascimento,O reset de senha falha e nao chega email.,2025-08-03 23:47:12
CSAT,mariana.araujo,Seria bom ter mais opcoes de personalizacao.,2025-08-04 02:27:53
BOT,patricia.carvalho,Vocês tiveram alguma manutencao programada hoje?,2025-08-04 06:36:10
BOT,carla.carvalho,Parece que um usuario acessou dados que nao deveria.,2025-08-04 07:29:55
NPS,vitor.silva,"A equipe acompanhou a implantacao, foi tranquilo.",2025-08-04 13:06:22
CSAT,thiago.pereira,Depois da ultima manutencao ficou bem mais estavel.,2025-08-04 20:33:37
BuzzMonitor,bruno.nascimento,Tem atendimento aos finais de semana? Ticket 60868.,2025-08-05 01:41:24
NPS,bruno.araujo,Preciso de auditoria e nao encontro logs completos.,2025-08-05 07:03:51
NPS,carla.barbosa,"Nao tive mais desconexoes, otimo trabalho. Preciso de retorno urgente.",2025-08-05 08:50:51
BuzzMonitor,mario.mendes,"Boa, o erro de sincronizacao sumiu.",2025-08-05 18:14:59
CSAT,diego.mendes,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-08-05 21:44:21
CSAT,leonardo.barbosa,"Adorei as novas funcionalidades, muito util. Preciso de retorno urgente.",2025-08-06 00:22:02
CSAT,laura.nascimento,A ferramenta esta ajudando muito nosso dia a dia.,2025-08-06 00:51:50
CSAT,ana.teixeira,Onde eu encontro o historico de faturas?,2025-08-06 01:33:40
BuzzMonitor,leonardo.araujo,Qual o status do incidente da manha?,2025-08-06 02:30:23
BuzzMonitor,gustavo.ferreira,Vocês tiveram alguma manutencao programada hoje? Ticket 93406.,2025-08-06 03:42:44
NPS,gustavo.silva,O atendimento foi rude e não ajudou.,2025-08-06 04:39:46
BuzzMonitor,patricia.silva,Muitos cliques para fazer uma tarefa simples.,2025-08-06 10:29:33
BuzzMonitor,rafael.carvalho,"A navegacao esta confusa, nao acho as configuracoes.",2025-08-06 11:19:11
NPS,gustavo.almeida,"Nao tive mais desconexoes, otimo trabalho.",2025-08-07 10:37:37
BOT,diego.martins,Qual politica de retencao de logs?,2025-08-07 12:07:55
BuzzMonitor,diego.oliveira,"Produto excelente, atende bem nossas necessidades. Ticket 10448.",2025-08-07 12:51:10
BuzzMonitor,bruno.carvalho,As telas estao com lentidao em horario comercial. Ticket 91416.,2025-08-07 15:28:51
NPS,leonardo.pereira,"Muito bom ter 2FA, aumentou a seguranca.",2025-08-07 16:55:03
BuzzMonitor,beatriz.ribeiro,"A sincronizacao ficou consistente, obrigado.",2025-08-07 18:25:17
CSAT,thiago.ferreira,As mensagens de erro nao explicam o que fazer. Preciso de retorno urgente.,2025-08-07 21:11:35
CSAT,carla.oliveira,"A performance melhorou muito, ta voando.",2025-08-08 05:09:54
BOT,diego.barbosa,"A performance melhorou muito, ta voando.",2025-08-08 09:10:44
CSAT,diego.teixeira,"A busca ficou instantanea, parabens.",2025-08-08 13:02:28
NPS,mariana.dias,Existe cache para relatorios?,2025-08-08 13:53:22
NPS,juliana.nascimento,A integracao gera erro ao sincronizar e para no meio. Preciso de retorno urgente.,2025-08-08 17:45:18
CSAT,diego.silva,O atendente nao entendeu o problema e encerrou o ticket.,2025-08-08 18:49:54
NPS,lucas.correa,"Boa, o erro de sincronizacao sumiu.",2025-08-09 01:59:19
CSAT,thiago.correa,O sistema duplica registros ao importar.,2025-08-09 02:48:01
NPS,thiago.elias,Estou recebendo erro 500 ao tentar salvar. Preciso de retorno urgente. Ticket 63480.,2025-08-09 16:53:36
BOT,leonardo.barbosa,Quando tento exportar CSV ele vem vazio.,2025-08-09 20:46:24
NPS,isabela.almeida,Tem atendimento aos finais de semana? Ticket 92729.,2025-08-09 21:59:28
CSAT,bruno.barbosa,"Estou vendo lentidao em alguns horarios, e esperado?",2025-08-10 01:35:58
BuzzMonitor,vitor.ribeiro,A ferramenta esta ajudando muito nosso dia a dia.,2025-08-10 02:12:46
CSAT,beatriz.gomes,"Gostei do controle de permissoes, bem completo.",2025-08-10 09:55:45
BOT,fernanda.mendes,Sinto falta de um relatorio mais completo. Ticket 73068.,2025-08-11 13:17:52
BuzzMonitor,ana.dias,"Adorei as novas funcionalidades, muito util.",2025-08-11 16:28:20
BuzzMonitor,joao.teixeira,"Nao carrega a tela inicial, fica em loading infinito.",2025-08-11 21:22:15
BOT,lucas.carvalho,A tela nao e intuitiva e acaba atrapalhando.,2025-08-11 23:18:38
BOT,mariana.ferreira,Onde eu encontro o historico de faturas? Preciso de retorno urgente.,2025-08-11 23:29:29
NPS,thiago.almeida,Recebi alerta de login suspeito e nao consegui bloquear.,2025-08-12 08:11:50
CSAT,vitor.silva,O onboarding foi confuso e faltou treinamento.,2025-08-12 13:13:07
NPS,mariana.gomes,Tem SDK em Python para integracao? Preciso de retorno urgente.,2025-08-12 13:40:40
NPS,leonardo.ribeiro,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-08-12 16:52:44
BuzzMonitor,mariana.pereira,As mensagens de erro nao explicam o que fazer.,2025-08-12 17:50:06
CSAT,joao.martins,"A navegacao esta confusa, nao acho as configuracoes.",2025-08-12 22:45:29
BuzzMonitor,fernanda.nascimento,O webhooks estao falhando e nao recebo eventos.,2025-08-13 00:30:18
NPS,isabela.barbosa,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-08-13 00:41:18
CSAT,vitor.elias,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-08-13 05:16:21
BuzzMonitor,mario.nascimento,"A busca ficou instantanea, parabens.",2025-08-13 07:56:34
BuzzMonitor,isabela.mendes,Depois do patch nao ocorre mais duplicacao na importacao.,2025-08-13 08:05:56
BuzzMonitor,laura.teixeira,A API esta retornando 401 mesmo com token valido.,2025-08-13 11:13:50
CSAT,bruno.martins,Tem webinar de introducao?,2025-08-13 14:32:10
CSAT,fernanda.lima,"O processo de pagamento ficou mais simples, ajudou muito. Preciso de retorno urgente.",2025-08-14 02:36:49
CSAT,mario.mendes,Recebi alerta de login suspeito e nao consegui bloquear. Preciso de retorno urgente.,2025-08-14 03:46:17
CSAT,camila.elias,Parece que um usuario acessou dados que nao deveria.,2025-08-14 07:38:04
CSAT,rafael.rocha,O atendimento foi rude e nao ajudou.,2025-08-14 12:01:03
BuzzMonitor,isabela.oliveira,Os logs de auditoria ajudaram bastante.,2025-08-15 01:45:23
CSAT,patricia.correa,Vocês tiveram alguma manutencao programada hoje?,2025-08-15 08:40:53
BuzzMonitor,carla.correa,A exportacao para contabilidade funcionou de primeira.,2025-08-15 16:13:12
NPS,camila.silva,Nao consegui importar meus dados iniciais.,2025-08-15 19:34:18
BuzzMonitor,juliana.oliveira,"Produto excelente, atende bem nossas necessidades.",2025-08-15 23:38:24
CSAT,laura.barbosa,O filtro não funciona e retorna resultados errados. Preciso de retorno urgente.,2025-08-16 00:08:33
CSAT,fernanda.souza,Qual o SLA de atendimento para meu plano?,2025-08-16 10:37:12
