origem,usuario,mensagem,data,sentimentalidade,categoria
BuzzMonitor,juliana.rocha,A plataforma caiu agora e nao consigo acessar.,2025-06-23 05:58:23,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,gustavo.araujo,A integracao com o ERP nao esta sincronizando.,2025-06-23 05:59:07,NEUTRA,FEEDBACK GERAL
CSAT,isabela.almeida,"Relatorios agora carregam rapido, excelente.",2025-06-23 15:08:12,POSITIVA,API/AUTENTICACAO
BOT,bruno.silva,A plataforma caiu agora e nao consigo acessar.,2025-06-24 08:14:22,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,beatriz.oliveira,O botao de salvar nao responde na tela de cadastro.,2025-06-24 15:34:52,NEUTRA,FEEDBACK GERAL
BOT,carla.lima,Seria bom ter mais opcoes de personalizacao.,2025-06-24 16:57:02,POSITIVA,FEATURE REQUEST
CSAT,isabela.teixeira,Sinto falta de um relatorio mais completo.,2025-06-24 19:22:50,NEUTRA,FEEDBACK GERAL
CSAT,rafael.teixeira,"Nao carrega a tela inicial, fica em loading infinito.",2025-06-25 04:47:45,NEUTRA,FINANCEIRO
BuzzMonitor,gustavo.nascimento,"Parabens, a nota fiscal saiu certinha e bem rapido.",2025-06-25 06:18:52,POSITIVA,API/AUTENTICACAO
CSAT,isabela.silva,Resposta rapida e com orientacao completa. Preciso de retorno urgente.,2025-06-25 10:23:27,NEGATIVA,API/AUTENTICACAO
CSAT,gustavo.barbosa,"As dicas na tela ajudam bastante, parabens. Preciso de retorno urgente.",2025-06-25 12:10:20,NEGATIVA,FEEDBACK GERAL
NPS,carla.ribeiro,"Faltam campos no cadastro, isso atrapalha.",2025-06-25 18:55:08,NEUTRA,FEEDBACK GERAL
BuzzMonitor,lucas.silva,Existe cache para relatorios? Preciso de retorno urgente.,2025-06-25 20:15:47,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,beatriz.dias,Parece que um usuario acessou dados que nao deveria.,2025-06-26 00:23:48,NEUTRA,FEEDBACK GERAL
BuzzMonitor,joao.carvalho,O webhooks estao falhando e não recebo eventos. Preciso de retorno urgente.,2025-06-26 01:43:54,NEGATIVA,BUGS
BuzzMonitor,carla.teixeira,Nao consigo atualizar meus dados de pagamento no sistema.,2025-06-26 02:54:58,NEUTRA,FINANCEIRO
CSAT,isabela.carvalho,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-06-26 03:20:15,NEGATIVA,SUPORTE/ATENDIMENTO
NPS,carla.mendes,A exportacao para contabilidade funcionou de primeira.,2025-06-26 13:48:15,POSITIVA,FEEDBACK GERAL
CSAT,joao.dias,"Boa, o erro de sincronizacao sumiu.",2025-06-26 14:06:17,NEUTRA,BUGS
CSAT,isabela.pereira,Sinto falta de um relatorio mais completo.,2025-06-26 14:40:32,NEUTRA,FEEDBACK GERAL
BuzzMonitor,vitor.teixeira,"A navegacao esta confusa, não acho as configuracoes.",2025-06-26 14:54:46,NEUTRA,FINANCEIRO
CSAT,vitor.silva,Ficou travando e desconectando toda hora.,2025-06-26 16:53:24,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,lucas.almeida,"Adorei as novas funcionalidades, muito util.",2025-06-26 19:11:13,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mario.dias,O filtro nao funciona e retorna resultados errados. Preciso de retorno urgente.,2025-06-27 02:19:05,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,ana.silva,"Estou vendo lentidao em alguns horarios, e esperado? Preciso de retorno urgente.",2025-06-27 07:03:26,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,leonardo.lima,Os logs de auditoria ajudaram bastante.,2025-06-27 13:43:38,NEUTRA,FEEDBACK GERAL
CSAT,mario.ribeiro,O suporte demorou muito para responder meu chamado.,2025-06-27 14:32:39,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,lucas.ferreira,O botao de salvar não responde na tela de cadastro. Preciso de retorno urgente.,2025-06-28 07:59:17,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,mariana.silva,A integracao com o CRM funcionou sem dor de cabeca.,2025-06-28 15:43:52,POSITIVA,FEEDBACK GERAL
NPS,lucas.araujo,Fiquei perdido na configuracao inicial. Ticket 74175.,2025-06-28 17:50:51,NEUTRA,SUPORTE/ATENDIMENTO
BOT,rafael.teixeira,Qual politica de retencao de logs?,2025-06-28 18:57:27,NEUTRA,FEEDBACK GERAL
BuzzMonitor,rafael.ferreira,Fiquei perdido na configuracao inicial.,2025-06-28 21:58:37,NEUTRA,FINANCEIRO
CSAT,rafael.ferreira,"Obrigada pela paciencia, problema resolvido.",2025-06-29 01:50:36,POSITIVA,FEEDBACK GERAL
CSAT,carla.araujo,Posso reorganizar o menu?,2025-06-29 11:42:47,NEUTRA,FEEDBACK GERAL
CSAT,lucas.martins,"Nao carrega a tela inicial, fica em loading infinito.",2025-06-29 12:34:38,NEUTRA,FINANCEIRO
BOT,mario.dias,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-06-29 14:15:52,NEGATIVA,FINANCEIRO
CSAT,bruno.carvalho,"A fatura veio com reajuste sem aviso, podem verificar?",2025-06-29 16:35:14,NEUTRA,FINANCEIRO
BuzzMonitor,bruno.elias,Ficou travando e desconectando toda hora.,2025-06-30 09:55:07,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,bruno.carvalho,Sinto falta de um relatorio mais completo.,2025-06-30 13:33:00,NEUTRA,FEEDBACK GERAL
BuzzMonitor,thiago.pereira,Qual o status do incidente da manha?,2025-06-30 22:17:38,NEUTRA,FEEDBACK GERAL
NPS,beatriz.araujo,O onboarding foi confuso e faltou treinamento.,2025-07-01 11:40:14,POSITIVA,FINANCEIRO
CSAT,lucas.gomes,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-07-01 12:30:21,POSITIVA,FEEDBACK GERAL
BOT,juliana.gomes,Depois da ultima manutencao ficou bem mais estavel. Ticket 38329.,2025-07-01 19:28:40,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,isabela.souza,"A importacao esta levando horas, ficou impraticavel. Preciso de retorno urgente.",2025-07-01 20:38:52,NEGATIVA,FEEDBACK GERAL
CSAT,camila.araujo,A tela nao e intuitiva e acaba atrapalhando.,2025-07-02 08:16:43,NEUTRA,FEEDBACK GERAL
BOT,gustavo.ferreira,Resposta rapida e com orientacao completa.,2025-07-02 11:53:46,NEUTRA,API/AUTENTICACAO
CSAT,gustavo.martins,A integracao gera erro ao sincronizar e para no meio.,2025-07-02 12:48:51,NEGATIVA,BUGS
BuzzMonitor,ana.souza,O fluxo de cadastro esta muito melhor.,2025-07-02 14:14:40,NEUTRA,FEEDBACK GERAL
BuzzMonitor,lucas.martins,"A performance melhorou muito, ta voando.",2025-07-02 19:22:03,NEUTRA,FEEDBACK GERAL
NPS,laura.martins,Vocês tiveram alguma manutencao programada hoje?,2025-07-02 21:24:29,NEUTRA,FEEDBACK GERAL
BuzzMonitor,diego.dias,"Evoluiram muito no ultimo trimestre, parabens.",2025-07-02 22:53:20,NEUTRA,FEEDBACK GERAL
BuzzMonitor,laura.correa,"Evoluiram muito no ultimo trimestre, parabens.",2025-07-03 01:53:30,NEUTRA,FEEDBACK GERAL
CSAT,ana.lima,A ferramenta esta ajudando muito nosso dia a dia. Preciso de retorno urgente.,2025-07-03 07:54:03,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,bruno.mendes,"Preciso atualizar o responsavel do contrato, com quem falo?",2025-07-03 09:24:26,NEUTRA,FEEDBACK GERAL
BuzzMonitor,juliana.almeida,"Boa, o erro de sincronizacao sumiu. Preciso de retorno urgente.",2025-07-03 14:56:14,NEGATIVA,BUGS
BuzzMonitor,mariana.souza,"A navegacao esta confusa, nao acho as configuracoes.",2025-07-03 18:18:09,NEUTRA,FINANCEIRO
CSAT,rafael.souza,A conciliacao bancaria ficou bem melhor nessa versao.,2025-07-03 18:24:40,NEUTRA,FEEDBACK GERAL
NPS,thiago.oliveira,"A navegacao esta confusa, nao acho as configuracoes. Preciso de retorno urgente.",2025-07-03 19:06:42,NEGATIVA,FINANCEIRO
CSAT,leonardo.ferreira,A integracao com o gateway de pagamento caiu. Preciso de retorno urgente.,2025-07-03 21:30:55,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BOT,ana.elias,A conciliacao bancaria ficou bem melhor nessa versao.,2025-07-03 21:54:32,NEUTRA,FEEDBACK GERAL
CSAT,juliana.souza,"A fatura veio com reajuste sem aviso, podem verificar? Preciso de retorno urgente. Ticket 83187.",2025-07-04 01:18:49,NEGATIVA,SUPORTE/ATENDIMENTO
BuzzMonitor,rafael.silva,Onde eu encontro o historico de faturas?,2025-07-04 05:50:53,NEUTRA,FINANCEIRO
CSAT,ana.mendes,Os logs de auditoria ajudaram bastante.,2025-07-04 09:57:40,NEUTRA,FEEDBACK GERAL
BuzzMonitor,carla.araujo,Como abro um chamado para suporte tecnico?,2025-07-04 13:10:46,NEUTRA,SUPORTE/ATENDIMENTO
NPS,carla.araujo,Seria bom ter mais opcoes de personalizacao.,2025-07-04 15:59:02,POSITIVA,FEATURE REQUEST
NPS,beatriz.nascimento,"A importacao esta levando horas, ficou impraticavel.",2025-07-04 16:56:24,NEUTRA,FEEDBACK GERAL
CSAT,carla.elias,Muitos cliques para fazer uma tarefa simples. Preciso de retorno urgente.,2025-07-04 17:44:46,NEGATIVA,FEEDBACK GERAL
CSAT,fernanda.mendes,A experiencia poderia ser melhor em dispositivos moveis.,2025-07-05 03:10:06,NEUTRA,FEEDBACK GERAL
BuzzMonitor,patricia.carvalho,"A importacao esta levando horas, ficou impraticavel. Preciso de retorno urgente.",2025-07-05 06:35:14,NEGATIVA,FEEDBACK GERAL
CSAT,isabela.souza,Tem alguma previsao para corrigir a exportacao?,2025-07-05 12:22:42,NEUTRA,FEEDBACK GERAL
CSAT,fernanda.barbosa,O sistema esta muito lento para carregar relatorios.,2025-07-06 11:51:43,NEGATIVA,INSTABILIDADE NA PLATAFORMA
NPS,juliana.mendes,"Gostei do novo painel financeiro, bem mais claro. Preciso de retorno urgente.",2025-07-06 13:52:14,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,joao.correa,A exportacao para contabilidade funcionou de primeira. Preciso de retorno urgente.,2025-07-06 22:58:00,NEUTRA,FEEDBACK GERAL
CSAT,carla.lima,"As dicas na tela ajudam bastante, parabens.",2025-07-07 10:04:27,NEUTRA,FEEDBACK GERAL
CSAT,isabela.oliveira,Posso reorganizar o menu?,2025-07-07 12:12:51,NEUTRA,FEEDBACK GERAL
BOT,patricia.mendes,"A tela de cadastro ficou redonda, sem bugs.",2025-07-07 12:51:31,NEGATIVA,BUGS
CSAT,camila.oliveira,Tem alguma pagina de status para acompanhar?,2025-07-08 00:38:49,NEUTRA,FEEDBACK GERAL
BOT,leonardo.pereira,"O sistema esta fora do ar desde cedo, precisamos de retorno. Preciso de retorno urgente.",2025-07-08 00:48:20,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,gustavo.dias,Ficou travando e desconectando toda hora. Preciso de retorno urgente.,2025-07-08 10:23:14,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,beatriz.ribeiro,Vocês podem considerar um novo recurso?,2025-07-08 17:45:33,NEUTRA,TREINAMENTO/ONBOARDING
CSAT,camila.mendes,"Comecei a usar rapido, processo muito bom. Ticket 62386.",2025-07-08 18:47:21,POSITIVA,API/AUTENTICACAO
BOT,vitor.dias,"Gostei do novo painel financeiro, bem mais claro.",2025-07-08 20:35:53,NEUTRA,FEEDBACK GERAL
BuzzMonitor,camila.carvalho,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-08 22:14:26,POSITIVA,FEEDBACK GERAL
BuzzMonitor,fernanda.mendes,Existe cache para relatorios?,2025-07-09 00:34:56,NEUTRA,FEEDBACK GERAL
NPS,beatriz.pereira,O boleto nao foi gerado e estou com pagamento em atraso por causa disso. Preciso de retorno urgente.,2025-07-09 01:04:46,NEGATIVA,SUPORTE/ATENDIMENTO
NPS,joao.pereira,Parece que um usuario acessou dados que nao deveria.,2025-07-09 12:54:15,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.elias,Quero participar do beta de novas funcoes.,2025-07-09 17:24:26,NEUTRA,FEEDBACK GERAL
BuzzMonitor,gustavo.rocha,"Parabens, a nota fiscal saiu certinha e bem rapido.",2025-07-09 17:29:35,POSITIVA,API/AUTENTICACAO
CSAT,ana.lima,Nao consigo atualizar meus dados de pagamento no sistema.,2025-07-09 22:26:33,NEUTRA,FINANCEIRO
NPS,carla.oliveira,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-09 23:26:08,POSITIVA,FEEDBACK GERAL
CSAT,laura.lima,Os tutoriais não cobrem o que eu preciso.,2025-07-09 23:47:57,NEUTRA,FEEDBACK GERAL
CSAT,bruno.ribeiro,O botao de salvar nao responde na tela de cadastro.,2025-07-10 02:05:09,NEUTRA,FEEDBACK GERAL
BuzzMonitor,carla.almeida,"A tela de cadastro ficou redonda, sem bugs.",2025-07-10 03:34:34,NEGATIVA,BUGS
CSAT,bruno.martins,"Adorei as novas funcionalidades, muito util.",2025-07-10 07:59:18,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mariana.araujo,O botao de salvar nao responde na tela de cadastro.,2025-07-10 09:11:59,NEUTRA,FEEDBACK GERAL
BuzzMonitor,laura.carvalho,O filtro nao funciona e retorna resultados errados.,2025-07-10 11:51:19,NEGATIVA,FEEDBACK GERAL
CSAT,laura.nascimento,Os webhooks estao super estaveis agora. Preciso de retorno urgente.,2025-07-10 12:45:20,NEGATIVA,FEEDBACK GERAL
NPS,ana.silva,Os logs de auditoria ajudaram bastante.,2025-07-10 15:19:15,NEUTRA,FEEDBACK GERAL
CSAT,juliana.souza,"A performance melhorou muito, ta voando.",2025-07-10 16:03:19,NEUTRA,FEEDBACK GERAL
BOT,lucas.martins,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-07-10 21:49:44,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,rafael.carvalho,O sistema esta muito lento para carregar relatorios.,2025-07-11 00:42:52,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,isabela.dias,Gostaria de entender o roadmap de funcionalidades.,2025-07-11 05:16:21,NEUTRA,FEATURE REQUEST
CSAT,juliana.souza,A tela nao e intuitiva e acaba atrapalhando.,2025-07-11 06:01:11,NEUTRA,FEEDBACK GERAL
NPS,gustavo.carvalho,"A API esta bem documentada, consegui integrar rapido. Preciso de retorno urgente.",2025-07-11 07:35:39,NEUTRA,API/AUTENTICACAO
CSAT,isabela.gomes,O tempo de resposta da API aumentou bastante.,2025-07-11 10:45:31,NEUTRA,API/AUTENTICACAO
NPS,camila.gomes,Fui transferido varias vezes e nao resolveram.,2025-07-11 16:50:12,NEUTRA,FEEDBACK GERAL
NPS,bruno.lima,Preciso de um relatorio de cobranca do mes.,2025-07-11 17:51:04,NEUTRA,FINANCEIRO
CSAT,diego.souza,A busca demora demais e trava o navegador.,2025-07-12 05:04:19,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BOT,vitor.pereira,"A API esta bem documentada, consegui integrar rapido.",2025-07-12 07:20:03,POSITIVA,API/AUTENTICACAO
BOT,camila.araujo,Como gero um token de API?,2025-07-12 08:23:28,NEUTRA,API/AUTENTICACAO
CSAT,gustavo.almeida,O sistema duplica registros ao importar. Preciso de retorno urgente.,2025-07-12 13:04:42,NEGATIVA,FEEDBACK GERAL
CSAT,carla.souza,Depois da ultima manutencao ficou bem mais estavel.,2025-07-12 18:49:45,NEUTRA,FEEDBACK GERAL
BOT,fernanda.lima,Quando tento exportar CSV ele vem vazio.,2025-07-13 06:35:41,NEUTRA,FEEDBACK GERAL
CSAT,ana.correa,Fui transferido varias vezes e nao resolveram.,2025-07-13 10:03:04,NEUTRA,FEEDBACK GERAL
BOT,thiago.almeida,O tempo de resposta da API aumentou bastante.,2025-07-13 17:25:11,NEUTRA,API/AUTENTICACAO
BuzzMonitor,juliana.ribeiro,"Faltam campos no cadastro, isso atrapalha.",2025-07-13 17:50:46,NEUTRA,FEEDBACK GERAL
BOT,lucas.correa,O suporte foi muito prestativo e claro.,2025-07-13 19:00:39,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,laura.oliveira,A ferramenta esta ajudando muito nosso dia a dia.,2025-07-14 00:23:09,NEUTRA,FEEDBACK GERAL
NPS,diego.lima,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-07-14 01:22:19,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,gustavo.dias,O boleto não foi gerado e estou com pagamento em atraso por causa disso.,2025-07-14 03:17:25,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,camila.lima,O sistema esta muito lento para carregar relatorios.,2025-07-14 09:48:02,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,joao.araujo,Qual o prazo para emitir nota fiscal?,2025-07-14 10:21:59,NEUTRA,FINANCEIRO
BuzzMonitor,leonardo.almeida,O menu mudou e agora ficou pior de usar.,2025-07-14 10:24:13,NEUTRA,FEEDBACK GERAL
CSAT,fernanda.elias,A tela nao e intuitiva e acaba atrapalhando.,2025-07-14 16:00:08,NEUTRA,FEEDBACK GERAL
NPS,thiago.rocha,"Gostei do novo painel financeiro, bem mais claro. Preciso de retorno urgente.",2025-07-14 17:14:03,NEGATIVA,FEEDBACK GERAL
CSAT,patricia.martins,"Nao carrega a tela inicial, fica em loading infinito. Preciso de retorno urgente.",2025-07-15 00:45:13,NEGATIVA,FINANCEIRO
NPS,camila.elias,Quero participar do beta de novas funcoes.,2025-07-15 00:59:33,NEUTRA,FEEDBACK GERAL
BOT,thiago.rocha,No geral estou bem satisfeito com a plataforma.,2025-07-15 03:24:30,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.elias,O suporte demorou muito para responder meu chamado. Ticket 32751.,2025-07-15 11:03:12,NEUTRA,SUPORTE/ATENDIMENTO
NPS,diego.carvalho,Importacao muito mais eficiente agora.,2025-07-15 19:36:09,NEUTRA,FEEDBACK GERAL
NPS,vitor.ferreira,"Gostei do controle de permissoes, bem completo.",2025-07-15 20:00:58,NEUTRA,FEEDBACK GERAL
BOT,juliana.araujo,A API esta retornando 401 mesmo com token valido.,2025-07-16 06:55:41,NEGATIVA,API/AUTENTICACAO
BuzzMonitor,ana.oliveira,"Faltam campos no cadastro, isso atrapalha. Preciso de retorno urgente.",2025-07-16 07:01:25,NEGATIVA,FEEDBACK GERAL
NPS,fernanda.mendes,Preciso de auditoria e nao encontro logs completos. Ticket 61543.,2025-07-16 07:05:01,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,juliana.ribeiro,"Gostei do novo painel financeiro, bem mais claro.",2025-07-16 10:48:16,NEUTRA,FEEDBACK GERAL
NPS,thiago.mendes,O reset de senha falha e nao chega email.,2025-07-16 18:38:49,NEGATIVA,BUGS
NPS,mariana.araujo,A nova interface ficou bem mais intuitiva.,2025-07-16 19:40:27,NEUTRA,FEEDBACK GERAL
BOT,mariana.nascimento,A tela nao e intuitiva e acaba atrapalhando.,2025-07-16 20:44:43,NEUTRA,FEEDBACK GERAL
BOT,joao.souza,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-07-16 22:38:27,POSITIVA,FEEDBACK GERAL
CSAT,mario.araujo,No geral estou bem satisfeito com a plataforma.,2025-07-17 10:00:21,NEUTRA,FEEDBACK GERAL
BuzzMonitor,lucas.oliveira,Recebi alerta de login suspeito e nao consegui bloquear.,2025-07-17 10:23:48,NEUTRA,FEEDBACK GERAL
BOT,lucas.almeida,A correcao do filtro resolveu meu problema. Ticket 66333.,2025-07-17 16:55:49,NEGATIVA,SUPORTE/ATENDIMENTO
CSAT,leonardo.dias,O atendimento foi rude e não ajudou. Preciso de retorno urgente. Ticket 24107.,2025-07-18 07:37:03,NEGATIVA,SUPORTE/ATENDIMENTO
CSAT,beatriz.correa,As telas estao com lentidao em horario comercial.,2025-07-18 09:11:44,NEUTRA,FEEDBACK GERAL
BuzzMonitor,vitor.souza,O bloqueio por IP facilitou nossa politica interna.,2025-07-18 13:42:18,NEUTRA,FEEDBACK GERAL
CSAT,camila.elias,"Estou com problema na cobranca, veio valor duplicado na fatura. Preciso de retorno urgente.",2025-07-19 02:10:38,NEGATIVA,FINANCEIRO
BuzzMonitor,vitor.gomes,O sistema esta muito lento para carregar relatorios.,2025-07-19 14:08:59,NEGATIVA,INSTABILIDADE NA PLATAFORMA
NPS,ana.pereira,Fui transferido varias vezes e nao resolveram.,2025-07-20 03:43:03,NEUTRA,FEEDBACK GERAL
CSAT,joao.ribeiro,Preciso de um relatorio de cobranca do mes.,2025-07-20 12:16:19,NEUTRA,FINANCEIRO
CSAT,fernanda.gomes,O webhooks estao falhando e nao recebo eventos.,2025-07-20 13:48:53,NEGATIVA,BUGS
BuzzMonitor,carla.martins,As mensagens de erro não explicam o que fazer.,2025-07-20 13:56:50,NEGATIVA,BUGS
BOT,thiago.rocha,Vocês recomendam qual navegador? Preciso de retorno urgente.,2025-07-20 18:46:00,NEGATIVA,FEEDBACK GERAL
CSAT,rafael.souza,A autenticacao em dois fatores nao funciona. Ticket 25112.,2025-07-20 19:04:01,NEGATIVA,API/AUTENTICACAO
NPS,gustavo.barbosa,A integracao com o ERP nao esta sincronizando.,2025-07-21 00:28:08,NEUTRA,FEEDBACK GERAL
NPS,mario.lima,Os logs de auditoria ajudaram bastante. Ticket 13019.,2025-07-21 04:03:45,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,vitor.souza,Existe modo escuro?,2025-07-21 10:09:32,NEUTRA,FEEDBACK GERAL
BuzzMonitor,vitor.ferreira,"A API esta bem documentada, consegui integrar rapido. Preciso de retorno urgente.",2025-07-21 11:32:44,NEUTRA,API/AUTENTICACAO
BuzzMonitor,thiago.correa,"Evoluiram muito no ultimo trimestre, parabens.",2025-07-21 13:05:36,NEUTRA,FEEDBACK GERAL
CSAT,mario.carvalho,"Estou com problema na cobranca, veio valor duplicado na fatura. Preciso de retorno urgente.",2025-07-21 19:12:50,NEGATIVA,FINANCEIRO
CSAT,juliana.almeida,Tem boas praticas para melhorar performance?,2025-07-21 19:43:20,POSITIVA,FEEDBACK GERAL
NPS,joao.souza,O suporte demorou muito para responder meu chamado.,2025-07-21 19:46:15,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,diego.rocha,O atendimento foi rude e nao ajudou.,2025-07-21 22:16:30,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,camila.teixeira,"Nao carrega a tela inicial, fica em loading infinito.",2025-07-22 01:52:58,NEUTRA,FINANCEIRO
BuzzMonitor,carla.lima,Qual o SLA de atendimento para meu plano?,2025-07-22 05:09:37,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,patricia.almeida,Fiquei perdido na configuracao inicial. Preciso de retorno urgente.,2025-07-23 00:38:22,NEGATIVA,FINANCEIRO
CSAT,thiago.carvalho,Como gero um token de API?,2025-07-23 03:31:22,NEUTRA,API/AUTENTICACAO
NPS,fernanda.correa,A documentacao e bem completa.,2025-07-23 06:59:56,NEUTRA,TREINAMENTO/ONBOARDING
CSAT,leonardo.oliveira,Os tutoriais nao cobrem o que eu preciso.,2025-07-23 07:05:52,NEUTRA,FEEDBACK GERAL
NPS,isabela.gomes,A exportacao para contabilidade funcionou de primeira. Ticket 35551.,2025-07-23 07:23:38,POSITIVA,SUPORTE/ATENDIMENTO
NPS,gustavo.oliveira,Ficou travando e desconectando toda hora.,2025-07-23 11:41:05,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,laura.ribeiro,"A navegacao esta confusa, nao acho as configuracoes.",2025-07-23 12:41:03,NEUTRA,FINANCEIRO
CSAT,mario.lima,A autenticacao em dois fatores nao funciona.,2025-07-23 12:49:49,NEGATIVA,API/AUTENTICACAO
BuzzMonitor,vitor.carvalho,Seria bom ter mais opcoes de personalizacao. Ticket 64767.,2025-07-23 21:00:01,POSITIVA,SUPORTE/ATENDIMENTO
BOT,mariana.silva,A integracao gera erro ao sincronizar e para no meio.,2025-07-24 01:48:07,NEGATIVA,BUGS
BuzzMonitor,bruno.araujo,Preciso de um relatorio de cobranca do mes.,2025-07-24 03:26:21,NEUTRA,FINANCEIRO
NPS,laura.oliveira,Quero participar do beta de novas funcoes.,2025-07-24 05:00:52,NEUTRA,FEEDBACK GERAL
CSAT,patricia.rocha,A ferramenta esta ajudando muito nosso dia a dia.,2025-07-24 06:18:56,NEUTRA,FEEDBACK GERAL
CSAT,lucas.araujo,Vocês tiveram alguma manutencao programada hoje?,2025-07-24 08:27:54,NEUTRA,FEEDBACK GERAL
NPS,joao.dias,Nao consigo atualizar meus dados de pagamento no sistema.,2025-07-24 13:55:55,NEUTRA,FINANCEIRO
BuzzMonitor,juliana.barbosa,O atendente nao entendeu o problema e encerrou o ticket.,2025-07-24 14:32:37,NEGATIVA,BUGS
NPS,leonardo.almeida,"As dicas na tela ajudam bastante, parabens. Preciso de retorno urgente.",2025-07-24 15:22:54,NEGATIVA,FEEDBACK GERAL
BOT,lucas.oliveira,Tem webinar de introducao?,2025-07-24 20:16:53,NEUTRA,FEEDBACK GERAL
CSAT,joao.teixeira,Tem alguma previsao para corrigir a exportacao?,2025-07-24 22:16:34,NEUTRA,FEEDBACK GERAL
BuzzMonitor,isabela.souza,Muitos cliques para fazer uma tarefa simples.,2025-07-25 02:45:24,NEUTRA,FEEDBACK GERAL
BuzzMonitor,ana.ribeiro,O tempo de resposta da API aumentou bastante. Preciso de retorno urgente.,2025-07-25 03:59:13,NEGATIVA,API/AUTENTICACAO
BOT,diego.carvalho,Nao consigo atualizar meus dados de pagamento no sistema.,2025-07-25 06:58:59,NEUTRA,FINANCEIRO
CSAT,laura.ribeiro,O bloqueio por IP facilitou nossa politica interna. Preciso de retorno urgente.,2025-07-25 09:08:03,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,fernanda.nascimento,A ferramenta esta ajudando muito nosso dia a dia.,2025-07-25 09:38:25,NEUTRA,FEEDBACK GERAL
BuzzMonitor,patricia.lima,A API esta retornando 401 mesmo com token valido. Preciso de retorno urgente.,2025-07-25 11:32:14,NEGATIVA,API/AUTENTICACAO
BOT,mario.ferreira,"Faltam campos no cadastro, isso atrapalha.",2025-07-25 18:13:44,NEUTRA,FEEDBACK GERAL
BOT,isabela.lima,Vocês tem exemplo de payload para webhooks?,2025-07-25 20:46:30,NEUTRA,FEEDBACK GERAL
NPS,laura.souza,"Obrigada pela paciencia, problema resolvido.",2025-07-25 21:48:46,POSITIVA,FEEDBACK GERAL
BOT,juliana.gomes,Existe modo escuro?,2025-07-26 00:36:29,NEUTRA,FEEDBACK GERAL
BuzzMonitor,juliana.elias,"O processo de pagamento ficou mais simples, ajudou muito.",2025-07-26 01:11:31,NEUTRA,FINANCEIRO
BOT,beatriz.ribeiro,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-26 04:33:03,POSITIVA,FEEDBACK GERAL
BuzzMonitor,rafael.mendes,A correcao do filtro resolveu meu problema.,2025-07-26 04:41:14,NEGATIVA,FEEDBACK GERAL
CSAT,bruno.martins,A integracao com o CRM funcionou sem dor de cabeca.,2025-07-26 04:55:39,POSITIVA,FEEDBACK GERAL
BOT,laura.souza,O onboarding foi excelente e bem guiado.,2025-07-26 05:52:19,POSITIVA,TREINAMENTO/ONBOARDING
NPS,fernanda.nascimento,O filtro nao funciona e retorna resultados errados.,2025-07-26 17:12:59,NEGATIVA,FEEDBACK GERAL
CSAT,mario.martins,Qual versao contem a correcao do problema? Ticket 98479.,2025-07-26 17:23:04,NEGATIVA,SUPORTE/ATENDIMENTO
